1930	6.7	6.7	11.3	15.7	19	22.6	26.2	26	22.8	17.5	12.1	8.9
1931	7.9	8.8	10	12.7	19.7	24.9	27.4	26.9	21.5	16	10.8	4.1
1932	5	2.9	7.4	14.1	19.4	24.1	27.2	26.1	24.1	21.5	11.7	9.2
1933	5.2	7.6	9.1	13.5	17.6	22.8	25.5	25.3	20.5	17.7	14.2	5.5
1934	5.3	5.7	12.6	15.9	20.5	23.9	26.9	26.3	23.1	17.6	13.4	10
1935	4.5	6.8	8.2	14.7	18.7	24.9	26.1	26	22.8	19.8	12.1	9.2
1936	10.5	8.3	12.2	16	18.4	23	27.1	25.9	21.6	16.3	12.3	7.2
1937	4.8	8.2	12.9	14.5	19.7	24.4	26.4	26	23.6	16.9	12.8	8
1938	4.8	6.6	11	12.9	18.4	24.1	27.5	27.1	22.2	17.9	12.8	8.8
1939	7.9	7.9	8.5	15.5	19.8	23.1	27.2	26.6	21.9	18.5	12.3	7.7
1940	3.1	6.8	8.1	13.9	17.5	22.9	26.6	24.3	21.4	18.5	13	4.2
1941	6.9	10.2	11	15.6	19.2	23.7	26	26	18.9	15.7	10.1	4.8
1942	0.9	5.6	8.6	13.9	20.7	24.6	25.4	26.1	23.8	17.5	10.7	7.3
1943	3.6	6.9	8.1	14	18.4	22.5	26.5	27.3	23.6	18.8	13.7	8.4
1944	4.5	6.7	8.7	14.9	18.3	24.7	26.5	25.2	23.1	18.2	11.3	7.6
1945	3.7	6.7	9.3	14.5	23.2	24.9	27.8	27.8	22.3	15.3	12.5	7.1
1946	4.3	7.1	10.9	15.2	21.1	25.4	28.1	28.3	25.4	15.4	13.9	7.9
1947	3.1	8.3	13.7	17.4	20.6	24.6	27.1	26.4	22.4	16.3	12.5	8.3
1948	9.4	6.1	10.2	14.8	20.6	22.3	25.8	27	22.6	17.8	11.3	3
1949	6	6.7	7.1	14	20.5	23.5	25.6	24.1	21.1	17	13.3	9.1
1950	3.5	8.6	11.2	16.9	20.5	24.7	28.3	26.7	24.2	17.9	11.9	11.2
1951	7.9	10	11.8	15.6	21.4	24.9	26.4	27	22.9	14.3	13	7.3
1952	7.5	7.1	9.7	16.8	18.9	24.3	26.5	28.4	25.3	17.2	12.5	10.6
1953	6.2	8.5	8.6	15.6	18.8	24.8	27.6	26.2	22.6	16.4	9.5	5.2
1954	3	3.4	10.7	13.1	19.2	26.4	27.6	27.1	23.9	17.1	11.9	8.6
1955	9.3	11.3	10.5	12.2	20.1	23.8	26.9	25.3	21.7	17.7	11.1	8.8
1956	6.5	4	6.3	14.8	19.7	23.4	26.7	27.8	22.4	16.7	11.1	6.6
1957	5	10	9.9	14.7	18.3	24.6	26.7	27	22.3	17.6	12.5	6.4
1958	6.4	9.5	9.3	14	22.3	24.5	26.9	26.8	20.6	16.4	12.7	8.8
1959	4.8	5.8	10.8	14.3	19.2	22.6	26.7	26.2	20.2	14.2	11.4	10.4
1960	7.1	7.8	9.3	13.9	19	23.4	25.4	26.4	20.4	18.5	14.5	11.5
1961	5.7	7	12.1	16.6	19.5	24	25.7	26.3	22.5	17.9	13.9	7.1
1962	7.1	5.6	10	14.9	21.6	23.1	25.9	27.6	22.8	17.5	14.4	5.5
1963	3.6	7.2	8.5	14	18.8	23.8	27.3	26.9	23.3	17	13.7	8
1964	3.5	6.3	10	14.4	18	24	25.2	24.9	20.4	17.6	12.8	8.8
1965	6.7	3.1	9.8	13.3	18	24.1	25.8	24.3	22.4	16.7	12	8.5
1966	4.8	11.2	10.2	15.7	18.9	22.7	26.4	26.6	22.2	20.4	13.2	7.8
1967	4.6	5.7	10.3	13.7	19.4	22.5	25.6	26.8	22.8	18.2	12.8	7.7
1968	4	8.7	9.5	15.6	21.8	23.3	26.5	24.3	22.2	16.3	13.1	7.1
1969	4.2	8.4	8.4	13.2	21.3	23.6	24.5	25.3	23	16.7	13.2	8.7
1970	7.6	8.4	10.2	16	17.4	23.4	25.2	25.7	21.8	16	11.8	7.6
1971	9	6.9	8.8	13.5	20.3	23.2	24.5	25.8	20.4	14.9	11.3	8.3
1972	6.7	7.5	10.4	15.4	19.5	24.4	25.6	25.3	20.2	13.2	11.5	6.5
1973	4.9	8.1	8	13.9	20.1	22.6	26.1	24.8	22.2	16.9	9.2	6.2
1974	6.2	8.8	10.2	12.4	18.2	22.8	25.3	25.8	21.7	18.1	11.3	7.2
1975	5.6	6	11.6	14.9	20	23.1	26.1	24	23.7	16.7	10.7	7.1
1976	6.5	6.6	8.8	14.5	18.9	22.5	24.7	22.4	20.3	17.5	12.2	7.4
